Page,Titre,Prix,URL,Année,Boite,Carburant,Couleur du véhicule,Cylindrée,Etat du véhicule,Kilométrage,Marque,Modèle,Puissance fiscale,Type de carrosserie
2,Ssangyong Actyon A200,123DT,https://www.tayara.tn/item/68d81ce707c7711d7c772160/Voitures/Sfax/Route_El_Afrane/Ssangyong_Actyon_A200/,2012,Manuelle,Diesel,Blanc,2.0L,Avec kilométrage,188000,Ssangyong,Actyon,7,Pick up
2,bmw serie 320i coupé kit M full options  état neuf,N/A,https://www.tayara.tn/item/68d81cd0516f1ddb82e49e4a/Voitures/Tunis/Tunis/bmw_serie_320i_coup_kit_M_full_options_tat_neuf_/,2012,Manuelle,Essence,Blanc,2.0L,Avec kilométrage,155000,BMW,Serie 3 GT,10,Utilitaire
2,Volkswagen amarok bva biturbo high-line plus édition limité,N/A,https://www.tayara.tn/item/68d81c8a516f1ddb82e49e21/Voitures/Ariana/Ariana_Essoughra/Volkswagen_amarok_bva_biturbo_highline_plus_dition_limit_/,2017,Automatique,Diesel,Noir,2.0L,Avec kilométrage,130000,Volkswagen,Amarok,7,4 x 4
2,bmw x1 essence 2l restylé phase 2 kit M individuel full options,N/A,https://www.tayara.tn/item/68d81c3f516f1ddb82e49e07/Voitures/Ariana/Ariana_Essoughra/bmw_x1_essence_2l_restyl_phase_2_kit_M_individuel_full_options_/,2015,Manuelle,Essence,Bleu,2.0L,Avec kilométrage,155000,BMW,X1,9,Utilitaire
2,Kia sorento,53000DT,https://www.tayara.tn/item/68d81bf707c7711d7c7720de/Voitures/Sousse/Khzema/Kia_sorento_/,2013,Automatique,Diesel,Noir,2.2L,Avec kilométrage,220400,Kia,Sorento,12,4 x 4
2,Mercedes Class A Berlin Pack AMG,135000DT,https://www.tayara.tn/item/68d81bec516f1ddb82e49dd1/Voitures/Sousse/Sahloul/Mercedes_Class_A_Berlin_Pack_AMG/,2020,Automatique,Essence,Blanc,1.4L,Avec kilométrage,32000,Mercedes-Benz,Classe A,7,Berline
2,MG one sur leasing,32DT,https://www.tayara.tn/item/68d81b5807c7711d7c772085/Voitures/Tunis/La_Marsa/MG_one_sur_leasing_/,2025,Automatique,Essence,Noir,1.5L,Nouveau,25000,MG,HS,10,4 x 4
2,Mg ZS,53000DT,https://www.tayara.tn/item/68d8192507c7711d7c771ef8/Voitures/Gabs/Gabs_Mdina/Mg_ZS/,,Automatique,Essence,,,,142000,,,,
2,Glc300e kit AMG,1234DT,https://www.tayara.tn/item/68939db6fde7ee723b4618c5/Voitures/Sousse/Sousse_Jawhara/Glc300e_kit_AMG/,2021,Automatique,Hybride essence,Noir,2.0L,Avec kilométrage,66000,Mercedes-Benz,Classe GLC,12,4 x 4
2,B250e kit Amg,1234DT,https://www.tayara.tn/item/6818bd47c1f8f57898ea91d6/Voitures/Sousse/Sousse_Jawhara/B250e_kit_Amg/,2021,Automatique,Hybride essence,Gris,1.4L,Avec kilométrage,41000,Mercedes-Benz,Classe B,8,Berline
2,E300 kit AMG,1234DT,https://www.tayara.tn/item/687e83d4d5464a896cb29753/Voitures/Sousse/Sousse_Jawhara/E300_kit_AMG/,2021,Automatique,Hybride essence,Noir,2.0L,Avec kilométrage,44000,Mercedes-Benz,Classe E,12,Berline
2,GLE 350 de kit AMG,1234DT,https://www.tayara.tn/item/67d4b49afd1c6385be352d4f/Voitures/Sousse/Sousse_Jawhara/GLE_350_de_kit_AMG/,2021,Automatique,Hybride Diesel,Blanc,2.0L,Avec kilométrage,65000,Mercedes-Benz,Classe GLE,11,4 x 4
2,Voiture,N/A,https://www.tayara.tn/item/68d817c6516f1ddb82e49ae1/Voitures/Sfax/Sfax/Voiture/,1998,Manuelle,Essence,Gris,1.2L,Avec kilométrage,289.000,Renault,Clio,4,Autres
2,BMW 318i model 2016,57500DT,https://www.tayara.tn/item/68d8157307c7711d7c771c18/Voitures/Tunis/El_Omrane_Suprieur/BMW_318i_model_2016_/,2016,Manuelle,Essence,Noir,1.5L,Avec kilométrage,171000,BMW,Serie 3,7,Berline
2,Dacia sandero stepway,61000DT,https://www.tayara.tn/item/68d8146107c7711d7c771b32/Voitures/Ben_Arous/Ezzahra/Dacia_sandero_stepway_/,2021,Manuelle,Essence,Marron,<1.0L,Nouveau,43000,Dacia,Sandero,5,Autres
3,KIA RIO COUPÉ PREMIÈRE MAIN EN ÉTAT NEUF,N/A,https://www.tayara.tn/item/68d813e9516f1ddb82e497d9/Voitures/Bizerte/Bizerte/KIA_RIO_COUP_PREMIRE_MAIN_EN_TAT_NEUF_/,2022,Manuelle,Essence,Noir,1.2L,Avec kilométrage,71000,Kia,Rio,5,Berline
3,504 lel bi3 fe bouhajla 📞56606329📞,1300DT,https://www.tayara.tn/item/68d81337516f1ddb82e4974d/Voitures/Kairouan/Bouhajla/504_lel_bi3_fe_bouhajla_56606329/,1800,Automatique,Diesel,Blanc,1.7L,Avec kilométrage,9999999,Peugeot,505,000,Autres
3,nissan Qashqai,73000DT,https://www.tayara.tn/item/68d811f007c7711d7c77190d/Voitures/Sfax/Sfax/nissan_Qashqai_/,2018,Manuelle,Essence,Blanc,1.4L,Nouveau,131,Nissan,Qashqai,6,4 x 4
3,307 ndhifa faible kilometrage,22200DT,https://www.tayara.tn/item/68d811ab07c7711d7c7718d1/Voitures/Sousse/Sousse/307_ndhifa_faible_kilometrage/,2003,Manuelle,Essence,Bleu,1.6L,Avec kilométrage,130000,,,,Berline
3,Fiat panda,N/A,https://www.tayara.tn/item/68d810d607c7711d7c771833/Voitures/Bizerte/Bizerte/Fiat_panda/,2009,Manuelle,Essence,Bleu,1.2L,Nouveau,200,Fiat,Panda,4,Autres
3,Peugeot 208,41500DT,https://www.tayara.tn/item/68d810bc07c7711d7c771820/Voitures/Tunis/Lac_1/Peugeot_208_/,2023,Manuelle,Essence,Blanc,<1.0L,Avec kilométrage,41000,Peugeot,208,4,Compacte
3,A.v kia rio essence ⛽️,N/A,https://www.tayara.tn/item/68d810af516f1ddb82e49547/Voitures/Monastir/Ksar_Hellal/Av_kia_rio_essence_/,2014,Manuelle,Essence,Marron,1.4L,Avec kilométrage,11,Kia,Rio,5,Berline
3,voiture 7 places 4*4,39DT,https://www.tayara.tn/item/68d8104407c7711d7c77179b/Voitures/Sfax/Sfax/voiture_7_places_44/,2010,Automatique,Essence,Marron,3.5L,Avec kilométrage,300,Mazda,CX-9,20,4 x 4
